,text,label_x,label_y,label_z
16,Ở đâu cũng có những kẻ dở_hơi !,0,1,7
17,"Không_thể_nào xót_xa hơn khi nghĩ tới việc bé bị bỏ_rơi thế này . Căm_phẫn loại người đi làm chuyện này . Mong bé khỏe_mạnh . Các bạn làm công_tác bảo_vệ sự sống thai_nhi thật tuyệt_vời , mong các bạn sức_khỏe .",0,0,0
18,Kia soluto thì thiếu tí_tẹo .,1,0,2
19,May là rắn không có độc không thì cá gặp diêm vương rồi .,0,0,7
20,"Công_an thực_hiện nhiệm_vụ vô_cùng tuyệt_vời cho dân , cho nước . Nhiệm_vụ vô_cùng nguy_hiểm với côn_đồ có súng nhưng đã bắt được bọn buôn ma_túy lớn . Cảm_ởn các anh rất nhiều !",1,0,6
21,Thích vụ không tạo scandal !,0,0,5
22,"Có_lẽ đây là lý_do nhiều người miền nam có màu_da sạm hơn đồng_bào miền bắc , vì mọi món đều cho chút đường .",0,0,0
23,Đọc tin mà thấy căm hờnmặt người dạ thú chẳng còn lương trisói lang chẳng chút từ bixuống tay tàn_bạo khác chi hung thầnvừa tồi vừa ác vừa bầnkịch khung mà xử chẳng cần phải nươngđau lòng xin thắp nén hươngtiễn người về chốn thiên_đường xa_xăm .,0,1,6
24,Rất hay .,0,0,1
25,Mong chính_quyền thành_phố dẹp hết giang_hồ cho mọi người được nhờ .,0,0,6
26,Biden harris sẽ thắng .,0,0,1
27,"Nhập một két nước 24 chai có 60 ngàn tính ra có 2 . 500 chai . Trong khi bao_nhiêu lượt vận_chuyển , bôc vác và lưu kho , thật_sự không biết nước đó bổ béo gì không mà thanh_niên uống ngày mấy chai .",1,0,9
28,"Xinh_đẹp , tài_giỏi , có trình_độ , hiểu_biết rộng nên đi làm diễn_viên .",1,0,1
29,"Cảm_ơn tất_cả các bạn , chúng_tôi vô_cùng biết_ơn và yêu_mến các bạn việt_nam .",0,0,0
30,"Bàn_tay nhanh_nhẹn quá , chúc_mừng chú , gia_đình là quan_trọng nhất .",0,0,5
31,Cái đầm cửa hà_kiều anh trông nhạt_nhẽo quá !,0,1,5
32,Cũng đẹp .,0,0,3
33,Sĩ_quan này rất thẳng_thắn và mạnh_mẽ . Tôi hy_vọng biden sẽ trở_thành tân tổng_thống của hoa kỳ .,0,0,1
34,"Hở ra 1 cái là kêu_gọi hi_sinh kinh_tế , làm gì thì cũng phải hợp_lí , chống dịch là để sống nhưng không có kinh_tế thì sống kiểu gì .",1,0,9
35,Tuổi_thơ mình gắn liền với hai tác_phẩm . Dế_mèn phiêu_lưu ký và bẩy viên ngọc rồng . Ngoài_ra vẫn còn một_số tác_phẩm khác . Cái tết của mèo con . Giờ già quá rồi .,0,0,5
36,Lần đầu_tiên quê_hương ninh bình của mình có thí_sinh vào chung_kết . Chúc cháu thành_công mang vinh_quang về .,0,0,8
37,"Đúng là để messi tự_do sẽ rất nguy_hiểm . Đối_thủ cứ lo kèm messi . Mà quên rằng trái bóng không nhất_thiết phải qua chân messi nữa , mà nó sẽ đến vị_trí của cầu_thủ nào đang chiếm được khoảng trống . Bóng_đá hiện_đại là thế . Chúc_mừng barca đã đi đúng hướng . Chúc_mừng messi đã trút bỏ áp_lực .",1,0,4
38,Chúc_mừng và cảm_ơn các bạn . Hy_vọng netflix sẽ mua bản_quyền phát_hành online toàn thế_giới phim ròm để tụi mình có_thể thưởng_thức .,0,0,5
39,Vậy_mà ở london thì người dân lại biểu_tình đòi tháo khẩu_trang ra .,0,0,1
40,Tôi không_thể để cậu ấy rời câu lạc_bộ . Messi là cầu_thủ hay nhất mọi thời_đại và đội bóng cần cậu ấy . Sở_hữu messi là một sự đảm_bảo thành_công .,1,0,4
41,"Học đại_học còn có mấy bạn vô_ý_thức , quan_trọng con_người thôi .",0,1,8
42,"Quê_hương đất quảng rất tự_hào và kiên_cường trong mọi thời_kỳ , sinh ra những anh kiệt làm rạng_rỡ đất việt . Cảm_ơn các tác_giả .",1,0,5
43,"1 tham_gia_bảo_hiểm lúc chưa cần , vì lúc cần rồi thì không tham_gia được nữa , nếu được thì phí cũng rất cao . 2 tham_gia càng sớm phí đóng càng thấp3 . Lúc nằm 1 chỗ , đóng bỉm mới thấy có bảo_hiểm nó lợi hơn ở chỗ nào .",1,0,9
44,Vậy thì luật này vẫn chưa có sức dăn đeđã là luật thì sao không thực_hiện đúng . Dù đó là ai ? và có thế_nào thì cũng phải chịu chứ . Nếu giam nó 6 tháng rồi tháng thứ ba lại vờ_vĩnh bị ốm_yếu_thế_là xong à .,1,1,1
45,"Ngoại_ngữ như tiếng mẹ_đẻ thôi , .",0,0,8
46,"Thắng là vui rồi ! đội bóng lớn phải là đội không_những phải biết vùi_dập đối_thủ trong một ngày đẹp trời mà còn phải biết kiếm được 3 điểm trong một ngày mình chơi không tốt ! chúc_mừng gooner , tôi tin là năm nay với những con_người này , arsenal sẽ tạo ra một điều đặc_biệt !",1,0,4
47,"Trong cuộc_sống của con_người , tôi cũng rất ghét những đứa con to xác nhưng luôn lười_biếng và ăn_bám trên thân_xác những cha_mẹ gầy_guộc .",1,1,7
48,Mấy kiểu này ở việt_nam bán lâu rồi .,0,0,5
49,Các thanh thiếu_niên ngày_càng dễ_dãi nhưng thiếu kiến_thức phòng_tránh hoặc quá chủ_quan dẫn đến những hệ_lụy không tốt .,1,0,0
50,"Cuộc_sống_còn nhiều khó_khăn thiết_nghĩ bà_con không nên sinh_đẻ nhiều quá , vừa không lo đủ miếng ăn , vừa không đảm_bảo việc học_hành cho con_cái , khổ từ đời cha đến đời con thôi .",1,0,3
51,"Không phải nặng , chỉ đơn_giản các bé không học trước lớp 1 thì sẽ không học kịp nổi chương_trình mà thôi .",0,0,8
52,"Có xem một tập trong thời_gian đó , hình_như đang học lớp 5,6 gì thì phải , tôi sinh 1984 cảm_giác truyện rất ok nhưng thời đó do còn nhỏ nên ít đọc truyện chữ .",1,0,5
53,Không mợ thì chợ vẫn đông .,0,0,4
54,"Khả_năng bên trong lõi mặt_trời có sự sống cấp cao ? ngược_lại với trái_đất , trong lõi của mặt_trời lại rất át mẻ .",0,0,7
55,Khả_năng 99 trump vẫn sẽ được tín_nhiệm và tái đắc_cử .,1,0,1
56,Phải sửa_chữa thôi bởi_vì những vật trưng_bầy mỹ_thuật trong tòa nhà không còn mỹ_thuật nữa thì sẽ không phải là viện bảo_tàng mỹ_thuật .,0,0,3
57,Lành bệnh cố_gắng kiếp việc an_toàn làm kiếm tiền nhé anh_chị . Hãy nhớ con_cái thà chịu gd thiếu_thốn vật_chất chứ các con không chịu cảnh thiếu_thốn cha_mẹ đâu .,0,0,0
58,"Tốt nhất hãy gửi bé vào 1 cơ_sở thiện nguyện nào đó ít_nhất bé sẽ có được 1 cuộc_sống như 1 con_người , được ăn được học .",1,0,6
59,Đọc báo thấy binden hơn trump tất_cả các mặt . Từ tấm lòng nhân_ái cho đến sự ủng_hộ của tất_cả .,1,0,9
60,Đề_nghị các bác trả lại tên cho em là trái nước nhá .,0,0,7
61,Phải làm gắt_gao ngay từ sân_bay kẻo ra cộng_đồng thật nguy_hiểm .,0,0,0
62,Cách_ly vĩnh_viễn khỏi xã_hội . Mong các cháu lớn và lên xóa_sạch kỹ ức đau_khổ này .,0,1,6
63,"Em cũng đang phân_vân kona bản đặc_biệt và seltos 1 . 4 pre . So với kona thấy seltos thiếu phanh ba , hệ_thống chống trượt thân xe , hỗ_trợ xuống_dốc , cảnh_báo điểm_mù và cảm_biến_áp xuất lốp . Toàn công_nghệ an_toàn mà thaco lại cắt đi .",1,0,2
64,"Nếu không tìm_hiểu về trang_bị hay so_sánh thì seltos luxury ngay và luôn thiết_kế đẹp , rộng hơn , hàng ghế sau rộng hơn có_điều hòa phía sau . Nếu đã tìm_hiểu và so_sánh thì sẽ rất là khó chọn , theo mình thì 50 50 . Nhưng mình sẽ chọn kona hơn về an_toàn phát_biểu của người chưa có xe xd .",1,0,2
65,Wakanda forever ! di_sản của anh sẽ tiếp_tục được tiếp nối siêu anh_hùng của người da_màu .,0,0,5
66,Cá to quá nên thả nó về tự_nhiên đi anh .,0,0,3
67,"Nhà_em đang chạy cả kia và hyundai nên đánh_giá là chất_lượng lắp_ráp của kia vẫn dưới hyundai , nhựa của kia lắp lởm rất hay bị cọt_kẹt , đi hyundai vẫn thấy chắc xe hơn .",1,0,2
68,Quan_trọng là linh_kiện thay_thế sau khi hết hạn bảo_hành . Cái này thì bạn chọn fadil là ok nhất .,1,0,2
69,Chuyện ly_kỳ .,0,0,6
70,Nhật hàn thì cũng việt nam lắp_ráp thôi . Thế_giới phẳng rồi . Khoảng_cách không còn xa nhau đâu .,1,0,2
71,Một sự_cố hy_hữu .,0,0,7
72,"Accent_cụ nhé . Nhìn xe kiểu châu âu , dáng đẹp , công_nghệ tốt .",1,0,2
73,Nên cho phép chọn đóng 1 lần hoặc nhiều lần để người dân lựa_chọn .,1,0,9
74,"Chúc anh và cháu thật nhiều sức_khỏe , hạnh_phúc để đạt được thành_quả trong cuộc_sống và học_tập của cháu .",0,0,5
75,Cứ vios mà múc bác . Toyota number one . Rất đẳng_cấp .,1,0,2
76,"Tôi ủng_hộ ông trump , mong ông được thêm một nhiệm_kỳ nữa .",0,0,1
77,"Quá coi_thường pháp_luật , hôm_nay nhìn kỹ mới thấy trước giờ toàn uống bia giả , hệ_thống phân_phối của nó phải nói quá dữ .",0,0,9
78,"Khi bạn là cá_sấu nước_mặn nhưng sống chung và chơi chung hội với cá_heo quá lâu thành_ra thế , hết biết , điều này cho thấy bạn_bè ảnh_hưởng đến bạn ra sao ? !",0,0,7
79,Cầu_mong mọi người bình an ! việt nam cố lên ! đất_nước chiến_thắng !,0,0,3
80,Không hiểu sao thành_phố bố_trí khu tạm_cư cho người dân chờ đền_bù giải_tỏa lại là những nơi này .,0,0,3
81,Định_nghĩa diện_tích là một nửa tích của chiều cao và chiều dài cạnh_đáy .,0,0,8
82,Lúc đầu xe_bồn chạy khá chậm nhưng không hiểu vì_sao lại không dừng khi đèn_đỏ mà chạy luôn vậy .,1,0,2
83,Nếu dùng đinh đã không tồn_tại đến ngày_nay .,0,0,7
84,Cảm_ơn vì 1 bài viết quá chất_lượng .,0,0,9
85,"Những_ai cho rằng người điều_khiển cuộc tranh_luận đã thiên_vị ông joe thì rõ_ràng chẳng biết luật_chơi của cuộc tranh_luận mà hai bên đã đồng_ý đó là mỗi bên có 2 phút để trình_bày trước quốc dân những chính_sách cụ_thể sẽ mang lại lợi_ích cho đất_nước nếu được bầu . Nếu bạn biết tiếng anh thì ai cũng thấy trump chơi trò cả vú lấp miệng em để không cho joe trình_bày . Mặc_dầu joe có bị tật nói cà_lăm từ lúc bé nhưng joe đã vượt qua và joe có một quá_trình và khả_năng trình_bày ràng rành_mạch có sức thuyết phuc cao . Mặc_dầu joe đã lớn_tuổi và không con sắc_bén như trước nhưng tôi tin joe la người lương_thiện có đầy_đủ khả_năng cùng ban tham_mưu của ông sẽ lèo lai con thuyền quốc_gia hoa kỳ qua các cơn giông_tố , không thùng rỗng thùng kêu to như trump . Là một cử_tri ở hoa kỳ 36 năm , tôi tin phiếu bầu của tôi và những cử_tri trí_thức khác sẽ loại_bỏ donald trump vào ngày 3 11 nầy .",1,0,1
86,"Dã_man quá , mất hết nhân_tính rồi . Xin chia buồn cùng gia_đình nạn_nhân .",0,1,6
87,"Tôi cũng đã từng chỉ nặng 45 46 triền_miên gần 10 năm , sau hơn 2 năm tập gym giờ đã được 60 . Tự_tin hơn rất nhiều , đây là 1 môm thể_thao cải_thiện_vẻ ngoài rất tốt .",1,0,0
88,Thùy_dung đẹp sx .,0,0,5
89,"Dragon soul gì chứ , gọi là tucson soul mới đúng . Đến chán với xe trung_quốc , hết thời nhái xe sang rồi đến giờ lại nhái xe bình_dân , hãng xe thì lắm tiền sao không đầu_tư tiền_bạc vẽ ra thiết_kế đặc_trưng của hãng mình như vinfast , nhìn không lẫn vào đâu được . Tiết_kiệm làm gì vài đồng mà đi cop thiết_kế của hãng xe khác không vậy .",1,1,2
90,Ngoài câu lạc_bộ hà nội thấy chuyên_nghiệp . Phần còn lại thấy như giải bóng_đá phố huyện .,1,0,4
91,Mấy anh_em cứ chê_bai hoài basa cũng khớ khớ hơn schalke rồi đó .,0,0,4
92,"Bóng_đá cũng chỉ một môn thể_thao giải_trí thôi mà thấy anh_em còm men so_sánh cr7 m10 gắt quá . Cái đó các nhà_báo , chuyên_gia làm tốt hơn . Chúng_ta hãy tận_hưởng thôi . Tuy_nhiên thì các chuyên_gia thường so_sánh cr7 với m10 , nhưng lại lấy messi để so_sánh với các huyền_thoại thì chúng_ta nên ngầm hiểu là messi ở tầm nào rồi .",0,0,4
93,"1 mới tiêm 7 9 đến 16 lại tiêm , có gần quá không ? 2 . Vaccin có bị gì không ? 3 . Bỏ một ngày tiêm phòng mà lo cho con sao lại đem gởi sớm thế , cơ_sở này thế_nào ? 4 . Phản_ứng của tiêm phòng không nhất_thiết phải 30 phút , vì tùy theo thể_trạng của các bé có_thể cả ngày mới phản_ứng thuốc . 5 buồn !",1,0,0
94,Accent bạn ạ . Hạng chất_lượng hàn nhật thời_điểm này là như nhau . Cố thêm vài chục . Vios cũng ngon nhưng khổ nỗi vỏ tole mỏng như lá lúa hơi tiếc .,1,0,2
95,"Kính chúc tổng_thống trump mau bình_phục , đắc_cử nhiệm_kỳ 2 .",0,0,1
96,Không bán vàng chị ơi . Vàng tăng trong 3 năm tới sẽ gấp đôi tài_sản . Sau 3 năm nữa bán là ok .,1,0,9
97,Nhiều khi mình vô thành_phố hồ chí đến mấy ngā tư muốn quẹo mà nhiều chỗ rất khó thấy tên đường góp_phần nguy_hiểm cho lái_xe nhất là xe_hơi vì lượng xe_máy thành_phố rất đông nên xe_hơi muốn quẹo phải quan_sát nhiều thứ như_vậy rất nguy_hiểm .,1,0,3
98,"Mục_đích của bảo_hiểm là bảo_vệ . Mỗi năm bạn trích 10 20 thu_nhập ra để mua bảo_hiểm thì nếu mai_mốt không may bạn ốm bệnh_tật thì gói bảo_hiểm bạn mua có tích_hợp sản_phẩm bổ_trợ như bảo_lãnh thanh_toán viện_phí , trợ_cấp tế do phải nằm viện bị mất thu_nhập . Thì công tình_yêu bảo_hiểm sẽ thanh_toán thay cho bạn , và trả cho bạn mỗi ngày nằm viện 1 số tiền nhất_định do bạn bị mất thu_nhập vì phải nằm viện . Và bạn vẫn giữ được và bạn vẫn giữ được số thu_nhập 80 90 của năm đó . Trường_hợp rủi ra liên_quan đến sinh_mạng nếu . Thì từ số tiền nhỏ hàng năm 10 20 thu_nhập mà bạn mua bao_giờ đó thì công tình_yêu bao_giờ sẽ thanh_toán 1 khoản tương_đối thay bạn báo_hiếu cho cha_mẹ , những người_thân ở lại vẫn có_thể sống tiếp nhờ 1 khoản mà người ra đi để lại . Trường_hợp bạn may_mắn khỏe_mạnh đến 99 thì sau 15 20 năm bạn có 1 khoản tương_đối từ khoản nhỏ bạn tích_cóp cộng thêm lãi xuất . Còn về lấy tiền khó khi gặp rủi_ro thì nếu bạn tuân_thủ và hiểu điều_khoản trong hợp_đồng bao_giờ thì điều đó hoàn_toàn không khó để lấy tiền . Trừ khi bạn trục_lợi bao_giờ thì bạn lấy tiền rất khó .",1,0,9
99,"Trận hôm quá hay thật , tiến lên barca .",0,0,4
100,Mình ăn duy_nhất đồ có màu đen là bánh_gai .,1,0,9
101,"Đến chính gia_đình còn không quản_lý được việc dùng điện thôi của con_em mình thì đừng ném cái trách_nhiệm ấy cho giáo_viên hay nhà_trường , chính đến người trưởng_thành còn không kiểm_soát được bản_thân trong việc sử_dụng điện_thoại thì làm_sao con_trẻ có_thể làm được việc đó . Tôi thấy không cho học_sinh sử_dụng điện_thoại là đúng , nếu chúng cần tìm tài_liệu sau mỗi giờ học thì có thư_viện , có phòng vi_tính , giờ trường nào mà chẳng có cái đó , còn trong giờ học thì các em ngồi nghe , tiếp_thu , không hiểu có_thể ngay tại_chỗ hỏi thầy cô . Nếu hợp_thức_hóa việc sử_dụng điện_thoại , mỗi khi có sự_việc liên_quan đến chiếc điện_thoại với các em nhỏ thì quả bóng trách_nhiệm nghiễm_nhiên lăn đến chân các thầy cô , nhà_trường và chính_quyền .",1,0,8
102,Làm_sao các cô phản_ứng kịp .,0,0,8
103,Trong khi mình thì kiếm 1 bé không ra . Thật là đau_lòng .,0,0,0
104,Đây chính_xác là nơi cr7 nên đến thể_hiện đẳng_cấp .,0,0,4
105,"Cám_ơn các anh , cám_ơn sự hỗ_trợ của người dân ! xem clip thấy hồi_hộp quá chỉ lo bên trong xe nó bắn trả .",0,0,6
106,Bầu_trời đỏ do tán_xạ ánh_sáng này rất giống với bầu_trời đỏ của sao hỏa !,0,0,7
107,Roland garros khởi tranhgặp thời_tiết lạnh khó_khăn quá chừngnadal thần_tượng của mìnhbảo vệ ngôi báu thiệt tình khó đây !,1,0,4
108,Mình tập vầy đi bộ 2 chạy 5 đi bộ 2 pxong là hết xí quách !,1,0,4
109,"Cảnh_báo ầm_ầm thế_mà vẫn có người ăn , sợ thật .",0,0,0
110,"Tôi không ủng_hộ việc đình_chỉ học hay đuổi học . Khi các em đang hư hoặc làm sai mà_lại đuổi học hoặc đình_chỉ thì đây là hành_động gây phản_tác_dụng , vừa không có tính giáo huấn , lấy mất nền_tảng giáo_dục , đưa các em đi về hướng sai , lại tạo cảm_giác tự_tình_yêu , nước chảy bèo trôi , khi ấy các em sẽ mặc_định là mình hư , mình sai , bị đuổi học rồi nên đằng nào cũng vậy . Tạo một tâm_lý tiêu_cực , bất_cần , khiến các em khó quay đầu gây ra hệ_quả xấu cho bản_thân học_sinh đó và xã_hội . Vậy thay_vì đình_chỉ học , đuổi học , nên cho các em đi lao_động công_ích , đi điều_trị tâm_lý , tham_gia giúp_đỡ tổ_chức các hoạt_động xã_hội , hoạt_động từ_thiện . Vui_vẻ tùy mức_độ vi_phạm để lựa_chọn hình_thức cho phù_hợp .",1,0,8
111,Cầu_mong ông sớm khỏe_mạnh .,0,0,1
112,Đồng_ý với phương_án 10 ngày điều_chỉnh 1 lần .,1,0,9
113,Nỗ_lực tuyệt_vọng chẳng_thể níu_kéo cuộc tình khi nàng đã quyết ra đi cùng người_tình mới .,0,0,7
114,Con_ruột mình sinh ra mà vẫn chưa được vầy . Thật ngưỡng_mộ anh cường .,0,0,5
115,". Lái_xe kiểu gì vậy trời ? nhìn cái đầu xe 4 mà nát bét như thế , dù chỉ đụng xe 2 bánh , là hiểu rồi đó ! đề_nghị thâu bằng lái của tài_xế vĩnh_viễn luôn đi .",1,1,3
116,300 mua được nhiều xe khác có tiện_ích và đông cơ tốt hơn i10 . Bản sedan 2018 . 2019 ngon mới được 300 .,1,0,2
117,"Ráng đợi thêm 1 năm tích_góp thêm mua con mazda 2 sedan mà chạy bạn . Chứ lấy mấy con i10 , fadi thì giải_pháp tức_thời mua con m2 bạn còn đi xa được , thậm_chí sau_này có bạn gái hoặc vợ_con thì gq ra sao . Ở việt nam ! mua chiếc xe_hơi đã khó mà sự lựa_chọn chiếc xe hợp_lý còn khó hơn .",1,0,2
118,"Ồ , vậy mai_đây ai mà sớ rớ tới gần học_trò , các cô cứ đấm thẳng mặt cho vừa_lòng mấy người . Chứ bất_ngờ kiểu này , mà đi kỷ_luật cô thì bó_tay .",0,1,8
119,Doanh_số các loại đồ uống không cồn tăng thì kèm theo bệnh_tật cũng tăng lên nhưng chẳng ai quan_tâm đến nên vẫn dùng quá mức .,0,0,9
120,"Là cha_mẹ , ai cũng muốn cho con mình học giỏi , thành_công trên con đường học_vấn , để có việc_làm tốt . Mình cũng vậy , mình thừa_nhận mình không phải là thánh để nói rằng mình không bao_giờ ép con học giỏi . Lúc trước , khi con học lớp 1 , lớp 2 mình cũng muốn con học giỏi , bắt con học đủ thứ . Nhưng sau đó sang định_cư ở châu âu rồi , tư_tưởng mình đã thay_đổi , không còn ép con học giỏi , không bắt_buộc con học gì nữa . Giờ_đây , con đã từng bước trưởng_thành , tự chọn hướng đi mà con yêu thích . Mình thấy con vui_vẻ với sự lựa_chọn đó . Nếu còn ở việt_nam , chắc mình vẫn bị rơi vào vòng xoáy ép con học và làm theo ý mình muốn rồi . Vì môi_trường sống mỗi nơi mỗi khác .",1,0,8
121,Tôi luôn theo_dõi các em thi_đấu nhưng thua bạc_nhược như trận vừa_rồi thì chắc chuyển kênh khác .,0,0,4
122,Hãy giảm nữa và ôm cua vòng ra biển lại đi noul .,0,0,3
123,Một_cách giải_quyết vấn_đề rất hay . Vừa làm được việc nhà vừa thỏa_đam_mê và học được bài_học kiếm tiền .,0,0,8
124,"Thế nên nếu không phải môi_trường tế thì không nên dùng khẩu_trang tế tràn_lan trong đời_sống dân_sinh , môi_trường tế họ có quy_trình xử_lý vật_tư tế khẩu_trang tế , găng_tay , bảo_hộ , . , còn đời_sống dân_sinh thì nên sử_dụng khẩu_trang vải để không xả thải bừa_bãi hoặc có_chăng thì còn dễ phân_hủy .",1,0,7
125,"Không nên . Dù để phục_vụ học_tập thì nên dùng trước và sau học . Thu_thập tài_liệu bằng nguồn nào cũng được nhưng cần làm trước khi vào học . Đã học là chỉ có truyền_đạt kiến_thức và thảo_luận theo tài_liệu đã chuẩn_bị trước . Việc cho các dùng điện_thoại vài phút tôi đoán là để google là không hiệu_quả . Đâu phải chỉ là tìm_kiếm thông_tin . Còn phải đọc , sàng_lọc , xử_lý . Thông_tin trên mạng nhiễu_loạn ra sao chắc mọi người hiểu .",1,0,8
126,"Đề_nghị cơ_quan chúc năng phải xử_lý rất nặng người này với hành_vi ngang_nhiên bạo_hành trẻ_em , dư_luận xã_hội rất phẫn_nộ về hành_vi này ngay trong trường_học , trước mặt các cháu trẻ_thơ . Cũng cần xử_lý ba cô_giáo ở trường này .",1,0,8
127,Hích . Tu_vi của con trê này chéc cũng được 50 năm . Chưa kịp thành tinh đã bị_thịt .,0,0,7
128,Các đập như thế này nên có lan_can an_toàn hai bên khi nước lũ lớn thì đỡ nguy_hiểm hơn .,1,0,3
129,Nghe có_vẻ căng nhỉ .,0,0,1
130,Thu_hồi gấp và cấm bán các sản_phẩm này ngay chứ ?,0,0,0
131,Con tu_hú ở việt nam !,0,0,7
132,"500 full lăn bánh thì có các sự lựa_chọn nissan sunny 2020 xv or xt , attrange 2020 cvt , ciaz thì chưa về . Ngoài_ra thì xe hạng , còn xe lướt thì mua được hạng khoảng 2 3 năm_tuổi , vios cvt or city 2 năm_tuổi . Theo mình cứ mới đét mà mua , đỡ đau_đầu . Mình đang đi sunny thấy hài_lòng với số tiền bỏ ra , còn không bỏ ra 600 là có vios city bản số tự_động đi .",1,0,2
133,Đáng khen_thưởng các đồng_chí ca hình_sự điều_tra về mảng tội_phạm ma_túy ! bởi chỉ cần lọt 1 hai đối_tượng xã_hội sẽ nhiều người khổ . Cảm_ơn bộ công_an !,1,0,6
134,Lúa_thu đông đang trỗ . Lại bị ảnh_hưởng .,0,0,3
135,"Bhnt nên mua càng trẻ càng tốt em nhé . Nên chia ngân_sách ra , 1 phần mua bhnt , 1 phần đầu_tư tích_lũy thông_qua các quỹ của công tình_yêu bhnt thọ đó quản_lý và tích_lũy lại . 10 năm sau em sẽ thấy 1 con_số không ngờ .",1,0,9
136,"300 bác mua elantra 2016 , cerato 2016 , túc_sơn 2014 , sorento 2014 . Việc_gì phải mua city 2013 , vios 2013 hả bạn . Mua mấy em hàn tôn kia vẫn còn thừa tiền đổ xăng .",1,0,2
137,Tôi muốn nhà sx quay lại mẫu điện_thoại như trong video . Nhìn nó mới đúng đẳng_cấp của con nhà giàu . Không,0,0,7
138,"Soluto tiện_nghi đầy_đủ , khóa thông_minh , camera , cảm_biến lùi . Thêm nữa đợt này soluto có giảm 50 phí trước_bạ nên sẽ rẻ hơn các dòng xe nhập đó bác .",1,0,2
139,Tại_sao nó cứ cháy mãi thế nhỉ .,0,0,7
140,"Kona 2 . Không db phải so_sánh với kia seltos pre 1 . 4 chứ nhỉ , so_sánh này khẩm khiễng quá .",1,0,2
141,Tầm tiền này vios là số 1 .,1,0,2
142,Phương oanh trông gần giống phạm băng băng rồi !,0,0,5
143,Nghe các bạn online phán mất mệt . Không ai sát đánh_bắt sát_sinh lấy gì cho mấy bạn ăn_vậy ? chỉ là tai_nạn thôi nha mấy thánh online .,0,1,7
144,Con cá sống_sót và bơi đi xa đọc tới đây mà thở_phào nhẹ_nhõm . Mong em cá sống_sót sau những thương_tích đợt này . Còn cuộc_sống sinh_tồn sau_này thì khó nói lắm .,1,0,7
145,"Như trường_hợp mẹ chồng tôi mất cũng không để lại di_chúc nhưng vợ_chồng tôi lại sống với bà , 4 chị_gái của chồng đều lấy chồng tỉnh xa , giờ đòi quyền chia đất . Lúc mẹ chồng tôi còn sống con_gái thứ 4 có vay bà 50 . . 000 , chị gái thứ 2 vay bà 12 triệu đến khi bà mất chưa trả giờ đòi chia đất . Còn chị cả lấy đi 1 3 số tiền phúng_viếng . Liệu 3 chị này còn đáng đòi đất không ?",1,0,6
146,Thành_quả của trump đều bị covid 19 hủy hết . Đây là hậu_quả sai làm của trump .,1,0,1
