,text,label
89,máy_tính của phòng thực_hành không phục_vụ được nội_dung thực_hành giảng_viên yêu_cầu_tự làm trên laptop rồi mang lên phòng thực_hành chấm điểm vậy phòng thực_hành dùng để chấm điểm .,4
90,giảng_viên nhiệt_tình giúp_đỡ sinh_viên trong học_tập .,2
91,cậu có_thể tặng cậu cho tớ chẳng_hạn .,3
92,còn khi học em cảm_thấy mệt_mỏi khó hiểu đôi_khi nghĩ hình_như mình chọn sai ngành rồi thì đảm_bảo với em rất nhiều người từng trải qua rồi và trong đó có mình .,2
93,với mong_muốn chia_sẻ những kiến_thức và kinh_nghiệm cho các bạn sinh_viên đặc_biệt các bạn sinh_viên năm năm có mong_muốn đi làm tại doanh_nghiệp nhật bản chương_trình đã mang đến những trải nghiệm mới những góc nhìn mới cho mọi người về nước nhật và con_người nơi đây .,5
94,chiều nay ở thư_viện phạm văn đồng tầng có bạn để quên son ạ bạn liên_hệ mình để nhận lại nhé .,8
95,tăng đề_xuất bài viết của bạn cho nhiều người tiếp_cận .,3
96,bài thi phải sát hơn và thêm phần thi nói để kiểm_tra và xếp loại đầu_vào .,2
97,bpt yêu pmc ạ .,9
98,kinh_tế phát_triển .,2
99,đơn_cử là vụ áo hở lưng đó mày ở sài_gòn mặc vậy thì không ai ý_kiến nhưng ở ngoài đó thì bị bắc kỳ chó táp liền .,7
100,triết mac lenin .,2
101,dạy nhiệt_tình giúp_đỡ sinh_viên nhiệt_tình trong giờ học và chỉ bài tận_tình .,2
102,có kinh_tế nguồn nhân_lực có cả slide .,2
103,chờ khao học_bổng nháa .,2
104,trong bối_cảnh thế_giới đang phục_hồi những hậu_quả của covid và vấn_đề phục_hồi kinh_tế đi_đôi với bảo_vệ môi_trường kinh_tế tuần_hoàn hay phát_triển bền_vững là một trong những hướng đi mang tính chiến_lược để thay_đổi cách_thức quản_lý và trách_nhiệm xã_hội dựa trên sự cân_bằng giữa tính bền_vững của doanh_nghiệp và tính bền_vững của xã_hội .,7
105,em đã đỗ điện_thoại vào đại_học kinh_tế quốc dân nhưng vẫn tích vào ô như trên vì các nv sau em để các trường khác phòng rủi_ro .,2
106,and all we get quá sách là bạn tôi khi tôi không có bạn_bè quanh mình .,3
107,nhận vé xem afc champion league tại sân vận_động mỹ đình miễn_phí .,4
108,thư mời nì .,3
109,không đảm_bảo được thời_gian lên_lớp giờ học lung_tung .,2
110,những tài_liệu ôn thi toeic writing .,2
111,cái này có đỏ có thơm đúng không nhỉ .,3
112,dân_số và quản_lý phát_triển .,2
113,phần định_hướng tìm việc .,5
114,vì_vậy kì này em chính_thức thất_học .,2
115,thế_là con_gái đã ra trường rồi .,6
116,hôm_qua là ngày đầu_tiên bọn em đăng_kí tín_chỉ nhưng do vướng lịch sinh_hoạt công_dân đầu khóa mà em đã lỡ mất việc đăng_kí thêm tín_chỉ .,2
117,anh chạy thật nhanh .,3
118,gom nắng gửi yêu_thương hè của viện đào_tạo tiên_tiến chất_lượng cao pohe đến với xã trường giang huyện lục nam tỉnh bắc_giang .,7
119,chiếc vi sặc_mùi tiền tỷ .,3
120,thời_gian sinh_hoạt từ tuần buổi cụ_thể sẽ thống_nhất sau khi có số_lượng thành_viên .,1
121,danh_tiếng gần năm sẽ sớm đi tong nếu không cẩn_thận .,2
122,những công_việc ấn_tượng đắt_giá và thu_hút nhà tuyển_dụng chắc_chắn sẽ xuất_hiện ngay sau khi sự_kiện kết_thúc .,5
123,con_trai trượt chưa .,3
124,ấn_tượng thật .,3
125,chỉ biết cố_gắng hơn từng ngày .,3
126,mình pass giáo_trình bản photo .,2
127,hướng_dẫn và đánh_giá đúng kết_quả học_tập .,2
128,sau đó anh tôn đã chuyển_hướng thái_độ sang gào khóc xin_lỗi mong bạn mình tha_thứ .,6
129,thầy rất tận_tình và thân_thiện .,2
130,tân_sinh_viên trả_lời .,2
131,thầy dạy cũng hay .,2
132,đội truyền_thông youth neu medium rất hân_hạnh khi được đồng_hành với sự_kiện lần này dưới tư_cách là đơn_vị bảo_trợ hình_ảnh .,9
133,các bạn sinh_viên neu có ý_định du_học ừ sau khi hoàn_thành chương_trình học ở trường mình nếu có thắc_mắc gì về đất_nước này thì cũng đừng ngại comment ở dưới hỏi mình nha .,2
134,thầy liên_hệ thực_tiễn nhiều gây hứng_thú cho sinh_viên .,2
135,giáo_viên hướng_dẫn cho code sai hướng_dẫn viết code ít không đáp_ứng được câu hỏi của học_sinh .,2
136,em mong được giải_đáp ạ .,3
137,giáo_trình lý_thuyết tài_chính tiền_tệ bản auth .,2
138,có sách giáo_trình cụ_thể để xác_định được rõ mục_đích của môn_học .,2
139,cô thường_xuyên kiểm_tra bài .,2
140,tôi làm được .,3
141,em tôi chuẩn_bị đi học .,2
142,thông_báo đổi điểm hoạt_động đoàn lần năm_học .,1
143,thì ra người giàu cũng như mình .,3
144,eo ơi hấp_dẫn mà còn chưa điền thì lỡ hết hạn rồi sao .,3
145,cd ra quận gần nơi ở cũng được nhưng phải đem công_chứng sổ hộ_khẩu với giấy khai_sinh đó chỗ mình là như_vậy .,1
146,đồ_án rất vừa sức sinh_viên .,2
147,ấm lòng đội truyền_thông youth neu medium đến thăm các chiến_sĩ thi_đua tại trung_tâm giáo_dục quốc_phòng an trường đại_học sư_phạm hà_nội mà thiên_hạ gọi là xuho .,9
148,giống khoa giấu tên ngày_trước .,6
149,slide bài giảng tài_liệu cần có nhiều ví_dụ tài_liệu khó hiểu .,2
150,nhà không ai ra à .,3
151,trường như cái đầu buồi quấn giẻ .,2
152,ai pohe thêm vào gruop với .,2
153,mọi người đến ủng_hộ giúp chúng_em nha .,8
154,và còn vỏ đựng là mua bộ hồ_sơ ngoài quán đúng không ạ .,3
155,phòng học còn nóng .,4
156,quá_trình giảng_dạy luôn lấy ví_dụ từ thực_tiễn hài_hước tạo nên hứng_thú cho sinh_viên .,2
157,học cả thầy luôn .,2
158,bài_tập cô cho nhiều nên làm hơi đuối .,2
159,giờ cuối_cùng cho cơ_hội nhận ngay công_việc xịn .,5
160,truyền_đạt nhiều kinh_nghiệm tốt cho sinh_viên .,2
161,em đã từng đi nhiều sự_kiện của trường và lần nào các sự_kiện cũng bắt_đầu và kết_thúc muộn hơn lịch_trình mà không hề có thông_báo hay lời xin_lỗi .,4
162,vui_tính hài_hước pha lẫn trong bài giảng của thầy .,2
163,thấy mấy nay trường nhộn_nhịp quá dramu khắp nơi nên nhân lúc giờ giải_lao ngồi trong cái lớp hơn con_người mà điều hòa hỏng tiện tay tổng_hợp lại dramas gần đây của trường ạ .,1
164,nhân ngày quốc_tế lao_động .,1
165,cho xem hình_thức ạ .,3
166,thế_nào rồi .,3
167,mọi người cho hỏi cái phần đăng_kí nguyện_vọng sao bấm vào được ạ điền hết phần trên rồi nhưng mà phần đó không bấm để điền được ạ lỡ chuyển_khoản ạ .,4
168,sự nhiệt_tình tận_tâm và chuyên_môn tốt .,2
169,cảm_ơn mọi người đã đọc chúc thầy cô và mọi người một ngày làm_việc và học_tập hiệu_quả .,8
170,bao_giờ câu lạc_bộ mở đơn ạ .,9
171,cần nâng_cấp phòng thực_hành để có_thể thực_hành với nền_tảng mới nhất của môn_học .,4
172,cậu giải bài này để ra đáp_án là số điểm đoàn nhé tính lim của sin nhé .,2
173,neu fl cũng là ynm đóa .,9
174,bún ơi .,3
175,hiểu được những khó_khăn của các bạn trẻ đang theo_đuổi ngành digital marketing global talent cùng với .,2
176,dạ chào bạn như ngọc nha để tìm_hiểu thêm thông_tin về công_việc và được tư_vấn chuyên_sâu bạn hãy truy_cập và đăng_kí qua đường link này nha ạ .,5
177,nay lên phòng quản_lí đào_tạo cũng nghe được cô .,4
178,nhớ alo để học cách không bị đi tù nhe .,3
179,thầy vui_vẻ nhiệt_tình và dạy dễ hiểu .,2
180,tao là một kẻ thất_bại nỗi ô_nhục của gia_đình đến còn chán_ghét ban thân thì thử_hỏi có ai chịu nổi nữa không muốn sống nữa .,6
181,ngày_xưa các mẹ không được nhận bằng như thế_nào nên rất thích .,2
182,thầy nhiệt_tình và rất gần_gũi với tụi em .,2
183,mệ cố lên .,3
184,khả_năng truyền_đạt chưa gây được sự thu_hút .,2
185,cô rất nhiệt_tình trong quá_trình giảng_dạy luôn khuyên_nhủ sinh_viên học bài và làm bài_tập .,2
186,nhanh lên không lại miss thông_tin .,4
187,ui tôi còn bị chơi_xấu hồi đại_học .,3
188,giảng_viên cần nhiệt_tình hơn trong giảng_dạy .,2
189,háo_hức chờ ban mình mở đơn ạ .,9
190,các bạn có thắc_mắc gì về kỳ thi_tuyển ngân_hàng nhà_nước thì nhắn mình hỗ_trợ nhé .,5
191,trường xin .,2
192,máu đỏ da vàng tôi là người việt_nam .,3
193,cần thêm tiết học thực_hành .,2
194,giảng_viên có phương_pháp giảng_dạy hay cập_nhật phù_hợp với sinh_viên .,2
195,những vấn_đề cô nói thường nhanh dài và khó hiểu .,2
196,mê nhà quá ạ .,0
197,chơi cố sắp đi học .,2
198,thị_trường chứng_khoán .,7
199,thầy dạy hay và quá dễ hiểu .,2
200,nhường má .,3
201,thật tuyệt_vời và ý_nghĩa .,3
202,máy_chiếu trong phòng học quá mờ khiến sinh_viên không nhìn rõ nội_dung khi trình_chiếu .,4
203,mình có pass các giáo_trình sau toàn môn đại_cương cho chương_trình chính_quy và võ phục karate .,2
204,tuấn giải_cứu con nhỏ .,6
205,bản scan các giấy_tờ theo yều .,1
206,gia_đình truyền_hình .,7
207,em là sinh_viên viện quốc_tế sau tuần học_tập em thấy mình không hợp môi_trường này em có_thể chuyển qua các ngành khác hệ đại_trà hoặc chất_lượng cao gì đó trong trường mình được không ạ .,2
208,toàn_bộ học_sinh sinh_viên đều được luôn .,2
209,sự nhiệt_tình cô wzjwz dạy rất dễ hiểu và vui_vẻ .,2
210,giáo_viên truyền_đạt kém khó hiểu .,2
211,chị chúc_mừng em trang nhé .,6
212,khó cho tao .,3
213,để môn này có những hiệu_quả và tạo hứng_thú cho sinh_viên thì cần có một giáo_viên có những kỹ_năng hợp_lý và đó là người sinh_viên nhìn vào đó để học_tập .,2
214,trong khi yêu_cầu của thầy thì phải đạt độ chuẩn_xác rất cao mới qua được môn .,2
215,ielts tuyệt_đối ở cả kỹ_năng tại việt_nam .,2
216,phòng thực_hành quá xuống_cấp .,4
217,tài_chính doanh_nghiệp đi các bác .,2
218,nhà để xe neu bé như cái mắt muỗi .,4
219,em cứ khiêm_tốn thôi .,3
220,designer trường có vẻ đỉnh ghê á .,4
221,có nhiều ý_tưởng cho tiết học thêm sinh_động .,2
222,áp_dụng vừa dạy vừa có ví_dụ code trực_tiếp .,2
223,vì_thế mà bạn nên thay_đổi tư_duy mình cũng thế mình cũng đang làm_quen nè còn hợp hay không hợp thì từ từ hẳn nói có_thể sau tháng học_kì hoặc năm trên đời này nhiều cái mình không thích lắm nhưng thử tìm_kiếm một cái ưu_điểm để bám_trụ để thích_nghi đi bạn .,6
224,tận_hưởng những giây_phút vui_vẻ hứng_khởi và đầy năng_lượng trong môn thể_thao yêu thích .,3
225,vị_trí customer support tiếng anh nghe nói đọc viết tốt .,5
226,ngại cá .,3
227,hưởng các chế_độ ưu_đãi khi sử_dụng các dịch_vụ của mobifone .,0
228,mau mau chỉnh_đốn đi .,3
229,tạo kênh bán hàng kinh_doanh online hiệu_quả cho cá_nhân_công tình_yêu .,5
230,giảng_viên rất nhiệt_tình sôi_nổi có tâm với sinh_viên .,2
231,học đại_cương đã nản thì học gì nữa em .,2
232,còn chủ_nghĩa xã_hội khoa_học ạ .,2
233,hên xui .,3
234,thư_viện trường người_ta .,4
235,trăng này xịn .,3
236,dạy như ta lớp trường bịp vãi cả đái lại không cho hủy nữa đúng là neu tư_bản vãi cả đái .,2
237,cả năm cày đêm không ai biết hôm xem sếch cả nước hay .,3
238,cộng thêm điểm ai checkin team building nữa là .,3
239,liên_hệ qua facebook này giúp mình với .,0
240,thời_gian vòng .,3
241,em vào xem chương_trình đào_tạo có các môn sẽ học trong cả năm đó .,2
242,không up slide moodle nên chỉ được đọc tài_liệu giấy .,2
243,đúng giờ tận_tâm với lớp .,2
244,em đã tìm_hiểu kỹ về ngành mình chưa .,2
245,địt_mẹ chạy mô_hình cho sẵn rồi còn phần nhận_xét bảo tự làm đi .,2
246,thầy hứa sẽ up điểm giữa kỳ sớm mà điểm giữa kỳ thì tới giờ này vẫn chưa có .,2
247,mong rằng sẽ nhận được lá đơn của bạn nhé hi .,8
248,vui_vẻ hòa đồng và biết lắng_nghe ý_kiến của sinh_viên .,2
249,mọi người inbox để biết nơi nhận hàng nha .,4
250,ừ mới ngã từ_thiên_đàng xuống .,3
251,một_số giảng_viên khác nên có một_số điều giống như cô .,2
252,một_số phần kiến_thức bị bỏ_qua do không đủ thời_gian .,2
253,rèn_luyện kỹ_năng nghe cho sinh_viên .,2
254,vậy_mà đến trường này thì chả_là gì hết .,2
255,tuy_nhiên tao nghĩ mày chỉ cần hù thằng có gia_đình kia là nó sợ té đái tự rút thôi đa_phần là vậy .,8
256,buồn của chị .,3
257,có_thể nói học nhập_môn lập_trình gặp được cô là một điều vô_cùng may_mắn cảm_ơn cô nhiều .,2
258,ở độ tuổi rồi một là việc tiếp_thu kiến_thức cũng có phần hạn_chế .,6
259,theo các chuyên_gia của đại_học kinh_tế quốc dân với vai_trò quan_trọng của tổng_cầu cần thống_nhất và đồng_bộ các nhóm giải_pháp trước_mắt là tập_trung vào chính_sách tài khóa tiền_tệ .,7
260,địa_điểm sân bóng cỏ nhân_tạo kí_túc_xá neu .,1
261,tạch rồi hiuhiu .,3
262,trường xịn vậy phát hẳn trực_tiếp .,2
263,anh_chị phát cho em với được .,8
264,nội_dung môn_học em nghĩ là rộng quá ạ .,2
265,bà chúc_mừng cháu nhé .,3
266,chẳng_hạn như bên chung_kết cuộc thi go finance của sc sẽ có right trình_diễn .,1
267,kiến_thức uyên_thâm tầm hiểu_biết sâu_rộng .,2
268,còn chần_chờ gì nữa mà không nhanh tay nắm lấy chiếc chìa_khóa mở ra cánh cửa việc_làm của mình ngay thôi nào .,5
269,giảng_viên yêu_cầu quá nhiều về việc hoàn_thiện đồ_án môn_học_việc chấm chéo đồ_án giữa các nhóm không hợp_lý và không cần_thiết .,2
270,giỏi nha .,3
271,thầy dạy nhiệt_tình dễ hiểu khá thoải_mái hòa đồng với sinh_viên .,2
272,tuyển_quân lớp chọn bóng_đá nữ và đội_tuyển tham_dự giải bóng_đá nữ_sinh_viên thành_phố hà_nội sắp tới .,7
273,bạn tham_khảo giúp tớ nhé .,8
274,em dùng khó crack lắm chị tại bảo_mật hơi cao em mang ra mấy quán họ không cài được .,3
275,chúc_mừng tân_sinh_viên .,6
276,môn_học nên cập_nhật giáo_trình mới liên_tục tài_liệu học_tập cũ rất nhiều chỗ sai .,2
277,đến giờ mình không thấy còn bài đăng về vấn_đề này nữa có_thể nó đã ổn hoặc có_thể thế_hệ sinh_viên mới thấy cũng phù_hợp .,4
278,cho mình hỏi là mình đăng_ký rồi mà chưa thấy mail gửi về nên không biết sự_kiện tổ_chức ở hội_trường nào và mình học xong tiết còn kịp check in không .,9
279,cứ ngỡ phải dầm mưa từ cổng kí_túc_xá về đến phòng thì một em_trai tân_sinh_viên bỗng xuất_hiện và che ô cho cô ấy .,6
280,mọi thắc_mắc bạn vui_lòng liên_hệ .,0
281,dùng app năm ra trường năm rồi trộm_vía không lỗi tí nào trộm_vía trộm_vía .,4
282,erc là cuộc thi học_thuật về nghiên_cứu phân_tích các vấn_đề kinh_tế xã_hội duy_nhất tại trường đại_học kinh_tế quốc dân .,2
283,kính mong quý thầy có_thể thay_đổi .,2
284,ngày vừa_qua neu open day đã chính_thức diễn ra tại tòa nhà trung_tâm neu với sự có_mặt của khoa viện .,9
285,thông_báo sẽ được chuyển đến lớp trưởng bí_thư nên bạn vui_lòng theo_dõi nha .,1
286,muốn đi mà không được .,3
287,hôm nào dẫn bạn qua chill cùng với .,3
288,giảng kỹ lấy ví_dụ rõ_ràng tận_tâm .,2
289,tôi không .,3
290,ghen_tị với bạn vì bạn có ước_mơ đó .,6
291,bức_xúc quá anh .,3
292,thế nhưng quản_lý tòa nhà ký_túc_xá liên_tục chèn_ép sinh_viên việt nam bằng việc soi_mói những lỗi vô_cùng nhỏ_nhặt để giá phơi treo quần_áo trước cửa phòng để hành_lý trước cửa phòng .,4
293,thầy cho em hỏi chỉ_tiêu của ngành kinh_tế đầu tư_chất_lượng cao là bao_nhiêu .,1
294,tìm ké quyển kinh_tế quốc_tế với .,2
295,với nhóm ngành về công_nghệ thông_tin thì chỉ cần đổi điểm thôi không cần đầu_ra .,1
296,làm debate nhiều còn học về giáo_trình rất ít .,2
297,chim vành_khuyên đi .,3
298,dạy đến khi các bạn hiểu rõ thì hãy tiếp_tục .,2
299,ai có nhu_cầu liên_hệ qua mess .,0
300,khóa học mos tại .,0
301,liếm lồn làm nó sung_sướng vật_vã .,6
302,chị ơi chị còn btap lí_thuyết tài_chính tiền_tệ không ạ .,2
303,kinh_tế vĩ_mô bài_tập .,2
304,hap dan that su .,3
305,giáo_viên dạy hay nhiệt_tình vui_vẻ hài_hước nhiều kinh_nghiệm giảng_dạy .,2
306,phải nói_thẳng cái trường xử_lý thiếu nhân_văn vờ cờ lờ đúng xứ lừa .,2
307,túc mừng các em .,6
308,trường kinh_tế .,2
309,nên biên_soạn một tài_liệu của chính_trường ta .,2
310,breaking news dàn khách mời siêu hot chính_thức đổ_bộ map branding bản_thân sao cho nét .,1
311,trang hp ra bẻ cổ xe giúp bạn kìa .,6
312,anh muốn được trở_thành một phần của đám đông sôi_động ấy .,3
313,hẹn gặp lại cô sau học_kỳ nữa .,2
314,tấm chiếu mới thiệt .,3
315,mọi thắc_mắc vui_lòng liên_hệ hội sinh_viên .,4
316,địt_mẹ thế này chết .,3
317,nên bỏ hình_thức thực_hành này .,2
318,cơ_sở vật_chất không đảm_bảo chất_lượng nhiều khi thầy đang nói mà micro bị hư .,4
319,theo phần_lớn sinh_viên được không sống là có chỗ ăn ngủ sinh_hoạt tắm_rửa với nội_thất vẫn có_thể sử_dụng thì mình thấy kí_túc_xá không hề có vấn_đề .,4
320,môn thi thì để là được không ạ .,2
321,năm lớp mục_tiêu đạt giải học_sinh giỏi cấp tỉnh tạch nốt .,2
322,trai của ta .,3
323,hà nội_thành_phố thật tuyện vời .,7
324,thực_hành khó hiểu .,2
325,cá_nhân mình đã lựa_chọn tham_gia câu lạc_bộ trong vô_vàn các lựa_chọn khác nhau với những mong_muốn về một tương_lai đẹp như mơ .,9
326,trường vào việc nhanh quá .,4
327,bác chúc_mừng cháu trai và gia_đình nhé .,6
328,đứa con ngoan là đứa con ở nhà cả ngày ăn cơm bố nấu .,3
329,anh này thấy bảo yêu aep lắm .,2
330,chiến_dịch epiphany việc nhỏ đừng bỏ_ngỏ .,3
331,mình có hướng_dẫn học vĩ_mô nhé .,2
332,mình nghĩ là tuổi mình còn làm được thì các em đang có tuổi_trẻ nhiệt_huyết đam_mê cộng với điều_kiện hòa bình_ổn_định của đất_nước .,7
333,nhờ mọi người chỉ giúp lấy giấy_báo nhập_học ở đâu ạ .,2
334,cô đi công_tác hơi nhiều .,2
335,im đi .,3
336,hót hòn họt luôn .,3
337,tôi không chê cô ấy thảo mai tôi thích câu trả_lời này quá .,6
338,giảng_viên truyền_đạt kiến_thức chưa tốt .,2
339,tuyển học_sinh cấp không chị .,5
340,em hâm_mộ anh lắm .,3
341,với môi_trường của đại_học giờ đêm nào em cũng khóc cũng cảm_thấy mệt_mỏi vì vấn_đề giấc_ngủ .,2
342,xấu mặt trường quá mấy ông cu .,2
343,mong trường giải_quyết phần tra_cứu của các bạn xét tuyển thẳng ạ .,8
344,tiết giảng hơi khô_khan nhàm_chán .,2
345,lê_hàn tuệ lâm .,6
346,và còn rất nhiều bất_ngờ khác đang chờ đón bạn tại buổi tối đặc_biệt này .,3
347,thầy dạy cứng_nhắc và nhanh .,2
348,mã phiếu báo điểm ở đâu mọi người .,1
349,có neuer nào muốn học mos ic liên_hệ mình nhé .,0
350,cứ lắc_đầu không nói gì là được chú_ý_đồ cá_nhân không là bị móc đó .,6
351,ngạo_nghễ bắc_giang .,3
352,cho vào với ạ .,3
353,giảng_viên vui_vẻ hòa đồng với sinh_viên tạo cảm_giác hứng_thú học_tập hơn .,2
