,text,label_x,label_y
195,học cách kiểm_soát bộ_não của mình đi thích thì tiến tới ghét thì bỏ_qua .,0,0
196,phạm linh không co cl .,1,1
197,quan_trọng gì trước sau gì chẳng về nhà .,0,0
198,tức diêng là idol vẫn còn ngon cơm . tức diêng là mắt thấy tai_nghe chứ không phải nằm chiêm_bao .,0,0
199,con thương cô lắm .,0,0
200,cực_kỳ thu .,0,0
201,thánh chửi lãnh án .,0,0
202,xe chở súc_vật mong người dân hãy tránh xa đề_phòng súc_vật phóng_uế lung_tung làm mất vệ_sinh .,2,2
203,à thế bạn ý hát bài gì jui có ai giới_thiệu cho mình được không . lâu jui mình chẳng nghe bài hát mới nào cả .,0,0
204,chúc anh_em năm mới vui_vẻ an_khang thịnh_vượng .,0,0
205,có táo_quân thì mới là tết chứ .,0,0
206,samsung vẫn đi làm bình_thường nhé mỗi ngày đi làm là ngày vui .,0,0
207,chú trung đầu chứ chú tí đầu lân cái lồn gì .,2,2
208,chi đep qua chi thích qua .,0,0
209,ồ shjt .,1,1
210,cáo từ .,0,0
211,nhật long toang . kiểu ni còn lâu lắm .,0,0
212,hiếu bùi sủa dơ .,2,2
213,ok trung bảnh .,0,0
215,admin nói_phét à bê_tông ăn thế_nào được .,0,0
216,con thuong co ba .,0,0
217,á nhà tiên_tri ủng_hộ nghị_quyết rồi nhé .,0,0
218,nguyễn thị phương bạn ơi cho mình xin ảnh để sống ảo được không ạ .,0,0
219,chào nhà_báo vũ hoàng lân . chào danh_hài vũ_trụ trần tiger .,0,0
220,ok đẹp_trai .,0,0
221,lan hoa tùng có dùng account clone đi comment đâu . dạo .,0,0
222,ăn_bận như cac họ .,1,1
223,cực_kì thuyết .,0,0
224,nhảy thế kia nhỡ may tiếp đất không chuẩn lại ngã thì sao . thôi tôi tớ nhiều cứ bảo thằng ra cõng cho chắc .,0,0
226,chửi hay lắm admin .,0,0
227,chào nhé .,0,0
228,thu trang .,0,0
229,đau_đầu vãi .,0,0
230,mày nói như lồn . bọn đa_cấp nó đóng thuế còn gấp chục lần doanh_nghiệp . tao cho thằng thớt ăn lồn không oan chứ thằng bên dưới .,2,2
231,thế cơ á .,0,0
232,day khong phai la con_người nua tinh_tinh_tinh .,1,1
233,thanks thầy nha .,0,0
234,quá ngu lồn đi .,1,1
235,fan cô minh hiếu đâu ta .,0,0
236,nguyen ngoc tam_gia phú phải không .,0,0
237,tình đồng_chí thật kiên trung sách lịch_sử dạy giặc tra_tấn dã_man thế_nào cũng không mở mồm có .,2,2
238,bác dần chớm có tình_yêu nước đấy .,0,0
239,toang quá thầy ơi .,0,0
240,làm cái đéo gì thì làm đừng để người_ta nhắc đến việt nam là gắn với từ ăn_cắp .,1,1
241,chị ba nói_chuyện dễ_thương quá .,0,0
243,cả nước đồng_lòng riêng em thi không .,0,0
244,còn ngưỡng_mộ có ba nhé .,0,0
245,báo_công_an đi rồi quản_lý thị_trường hốt em luôn_thể .,0,0
246,im mẹ đi thằng mặt lon .,2,2
247,thằng admin này não bị delay năm à .,2,2
249,how to nói đểu vợ .,0,0
250,mới hả mọi người .,0,0
251,admin hãy tìm số báo nào của báo quân_đội khi viết ba rách ô ba ma và đô na trăm . vãi báo .,1,1
252,bọn chó sủa bậy .,1,1
253,thì ra thầy đã có tính tấu hài từ lúc làm tuyển_thủ chuyên_nghiệp .,0,0
254,sếp nhà mình cũng thế .,0,0
255,bon comcom đơn_vị tác_chiến điện_tử với nhật_ký yêu nước địt_mẹ chúng_mày vào mà đọc . tưởng ai cũng như chúng_mày hết đấy .,2,2
256,các em nầy khi vào báo_công ngủ với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè .,2,2
257,giận méo_mặt .,0,0
258,mv khá chất_lượng .,0,0
259,đi làm cũng khổ .,0,0
260,thầy duo với levi để tú bơ_vơ .,0,0
261,lại người nữa ra đi .,0,0
262,bác ơi chói quá .,0,0
263,tự_hào quá việt nam ơi .,0,0
264,khổ_thân anh độ giải này mà nát mấy ông anti lại um lên cho mà xem . rồi team lại đủ thứ buồn . còn ngày_mai nữa mong các anh cố_gắng .,0,0
265,ai yêu inbox nhé .,0,0
266,chu hoài tạo_hình suốt mà giờ mới trend .,0,0
267,em mê con nhỏ ngoài trần duy hưng nhưng phải cố_gắng nhiều hơn .,0,0
268,tại mấy tàu mà ra .,0,0
269,sợ thật ấy .,0,0
270,xin phép cả nhà nha .,0,0
271,so với nghệ_thuật sắp_đặt trị_giá . tỷ việt nam đồng của ông hoàng trung hải thì tác_phẩm trái chuối . rất là chuối .,0,0
272,nước_hoa đểu lấy đâu ra xịn hot_nữ méo gì nhìn xấu vờ cờ lờ thề .,2,2
273,sam luôn_luôn đi theo cặp nhé con chồng lên nhau ý .,0,0
274,trường giang no no . đang chỉ_trích vì tính ích_kỷ . không nghĩ cho người khác . chứ bả sống thì tốt thôi chứ có gì đâu .,0,0
276,chúc_mừng năm mới .,0,0
277,quân tâm anh_em có link xem chưa bao phê luôn anh_em ơi .,0,0
278,thầy làm gì cũng được đừng ra mv hát là được nha thầy . nói chứ địt_mẹ mãi yêu thầy .,0,0
279,cứ như là kịch_bản hay cho việc hợp_lý_hóa xây sân_bay long thành .,0,0
280,cổ_động_viên quảng_ninh nhưng rất thích chất cổ_động_viên hải phòng .,0,0
281,đưa ô già đi trốn hợp_lý hơn .,0,0
282,suni hạ_linh sau khi thấy vid này .,0,0
283,bóng dơ .,2,2
284,mai ánh thi có nha em ơi ibx nha .,0,0
285,có tiền đi đường quyền .,0,0
286,trần bình trọng vừa xong không like các bác sống nhanh vãi .,1,1
287,tôi nghĩ tiền không làm gì được các ông ạ .,0,0
288,nhớ đến đấng nha gà .,0,0
289,mê cô quá .,0,0
290,vô_tình thấy giống anh quá .,0,0
291,đặng thái hoàng châu dư_âm từ năm này sang năm khác .,0,0
292,tú không cho anh blue và cái kết .,0,0
293,fan cứng nè .,0,0
294,em đây anh ơi bây_giờ em mới nhận ra bên em còn có người anh tuyệt_vời như anh anh độ ạ .,0,0
295,love you to ca mo .,0,0
296,đumoe nói_leo .,1,1
297,pha đánh răng ám_ảnh nhất lịch_sử điện_ảnh có_thể lưu_truyền mọi thời_đại là biểu_tượng để các diễn_viên học_tập theo .,0,0
298,đumá tu . biên tu . diēn luon .,1,1
300,hoc cc gi nua ve_san voi ma kiem an .,1,1
301,thanh phương làm bài review đi .,0,0
302,đình quang thô nhưnh thật quá bác ạ .,0,0
303,abe có_thể chiếm_đoạt được trái_tim của tiểu tiểu nhưng riêng blue của tiểu tiểu thì abe tuổi lồn chiếm_đoạt được vui_vẻ .,0,0
304,đúng là chó làm người phải chịu . .,1,1
305,bùi minh huệ crush ưii . anh thích em đó .,0,0
306,cô minh hiếu nói_chuyện thật_thà dễ_thương quá .,0,0
307,ai biết tên kiểu này là gì không ạ .,0,0
308,uống nước là đi tù .,1,1
309,đéo hiểu kiểu gì .,1,1
310,chúc panda của abe yêu_dấu vui_vẻ nhé và đừng quên xóa_kênh .,0,0
311,đờ mờ cuộc_sống .,1,1
312,phải xử_lý hình_sự mới sáng_mắt ra được .,0,0
313,dạo này nước mỹ không được an_toàn . sao không thấy cây súng của nhà tien tri_vậy .,0,0
314,em về tộc anh nhưng chưa có fc .,0,0
315,khó_chịu vãi .,0,0
316,ri thì như thor luôn .,0,0
317,góp vui một_tí .,0,0
318,mọi người xin dành chút thời_gian nguyên góp mỗi người like vào ảnh đại_diện của tôi được hong .,0,0
319,triệu_hồi phúc nghẹo . trọng lú .,2,2
320,nói thôi cho dân_chúng bớt xoắn lên nhưng thực chắc cũng đâu vào đấy . nó chơi ngầm thì đố ai biết . cái nhà_nước này nó nát bét hết rồi . các bác đừng có mơ làm nhà_nước nữa từ cấp đã xác_định là làm nghề gì mà không liên qua nhà_nước rồi vì tao biết .,2,2
321,thời_gian ủ_bệnh lên tới ngày khả_năng cao vẫn phải cách_li theo_dõi thêm .,0,0
322,mặt độ trông buồn_cười vãi kiểu con ơi cho bố cầm mới không .,0,0
323,pha xử_lí hay nhất từng xem .,0,0
324,thêm quả carô ở trong nữa nhìn chán .,0,0
325,bà này đỉnh thật . nữ_tướng đáng khâm_phục . giá_như mà việt nam có sự lãnh_đạo của bà thay cho ntkn thì hay cho đất_nước .,0,0
326,dư_luận viên vào ẳng nào .,2,2
327,from .,0,0
328,nghe kì kì sao á . con_trai với mẹ mà liệu mấy cái lời nghe .,0,0
329,lisa cai lậy .,0,0
330,trung quốc hắc xì cả thế_giới phải rung_chuyển .,0,0
331,nghiệp bê đê nặng lắm má ơi .,2,2
332,duy trần xin video với .,0,0
333,yêu thầy dấu bé .,0,0
334,nó giống vãi lồn ơi .,0,0
335,cũng đã đến lúc những người làm công_tác bảo_vệ an_ninh . các khu_phố cần vào_cuộc . vì hình_ảnh của đất_nước không để mấy thằng lưu_manh làm mất_mặt được .,2,2
336,add muốn mua cái này mua ở đâu ạ .,0,0
337,lại lên_cơn hoang_tưởng bậc cao hơn .,0,0
338,nguyễn minh bộ ba siêu phẩm sao đọ .,0,0
339,phương minn ngộ_nghĩnh nhỉ lạ lone nhỉ rõ_ràng cố_tình tạo phốt để bán hàng online mà làm như hay lắm . sống dơ ai mua đồ cho trời .,2,2
340,trần chuẩn .,0,0
341,min .,0,0
342,hình_như thiếu .,0,0
343,chỉ chịch xã_giao thôi .,1,1
344,trúc ngân ơ lại đi so_sánh dink kout của cây tê em với đỉnh_cao của jack vại bạn thiệt là khập_khiễng với cả thiệt_thòi cho bạn nện đàn dzợ .,0,0
345,hoàng kiên nói đúng lại còn chuẩn .,0,0
346,có cc nè em .,2,2
347,page lâu_lâu nói_chuyện chuẩn dễ sợ .,0,0
348,kinhh .,0,0
349,quảng_cáo lộ_liễu quá .,0,0
350,nghĩ ló chán .,0,0
351,nghe thế thôi làm theo mấtt hết .,0,0
352,loại này phải .,0,0
353,buồn ạ .,0,0
354,mong mấy bác được cách_li ở nhà đừng trốn là em vui rồi cứ đi nhông nhông thì em cũng sợ .,0,0
355,bậy zòi nhìn bên trái đi đừng nhìn bên phải .,0,0
356,hợp_lý ơi .,0,0
357,nguyễn trọng hiệp hiệp bmw à .,0,0
358,do lười chụp ảnh có mỗi kiểu chụp trộm thôi .,0,0
359,thân_hình phụ_huynh gương_mặt học_sinh .,0,0
360,giống như câu ngêu sò tranh nhau ngư ông đắc lợi .,0,0
362,đinh nguyễn vươn anh tuan .,0,0
363,vũ mai ly ui thật á .,0,0
364,huyền khánh phùng chả vờ chả vịt .,0,0
365,nguyễn định tôi xợ á .,0,0
366,minh tran ừ mình nghe cũng nghĩ là người miền trung mà bả không biết phân_biệt .,0,0
367,chị ba sang quá à . đi hửi quần xì của con le .,2,2
368,đi sau việt nam hàng thập_kỉ .,0,0
369,chúng_mày phải thông_cảm các anh ý đều có ước_mơ làm hình_sự nhưng dòng đời xô_đẩy phải đi làm trật_tự và giao_thông .,0,0
370,hang vu đú trend lâu rồi .,0,0
371,thuyết_phục vãi .,0,0
372,rõ_ràng chức_danh chủ_tịch mà sao ý_thức lại khác vậy .,0,0
373,nguyễn thanh mai trúc hay kể chuyện cười cho nghe nhiều làm_việc gì nhớ tập_trung chuyên_môn nghe chưa .,0,0
374,nhà nói_dóc nhà ảo_tưởng chứ biết con_mẹ gì mà tiên_tri .,2,2
375,bạn trai nhà người_ta chưa bao_giờ làm tôi thất_vọng .,0,0
376,đợi ei .,0,0
377,tiêu_chảy cấp .,0,0
378,sang_năm mới mong anh bớt hí nha .,0,0
379,lúc đó tôi tưởng thế_là ngầu .,0,0
380,nhìn chất vãi lìn anh ơi .,0,0
381,nguyễn tuấn phong thương chị quá .,0,0
382,âu cũng là số_phận muốn đóng vai thiện nhưng đời xô_đẩy .,0,0
383,hi_vọng chị kế_toán cũng thấy cái này . chị ơi vì một cái tết ấm_no hãy thương tụi em .,0,0
384,ngọc huy học_hỏi idol để có quả đầu đẹp nha .,0,0
385,benben duong .,0,0
386,ơi cưng quá cô ơi .,0,0
387,chui nua_di_co cho bo tat ngua .,1,1
388,nể nhất anh phóng_viên ngồi mặt tỉnh_bơ không biến_sắc .,0,0
389,vợ em mấy anh ơi em lớp trưởng nè .,0,0
390,bản kia hay hơn .,0,0
391,dạo này pản động nhiếu quá mấy bạn bò đỏ à .,2,2
392,chất vlon ưii .,0,0
393,ủa à nói hay vậy .,0,0
394,cái cap hơi gây war đó nha_vậy tôi nói chương_trình mấy người này_nọ mấy người chịu không nói gì thì suy_nghĩ vào xin_lỗi chứ chương_trình có duyên mà comment có duyên thì dẹp hay im mồm cho xong thân .,2,2
395,nhà tiên_tri hay đấy ông có thêm phiếu về việt nam chơi nhé .,0,0
396,đặt khô gà ở đâu thầy ơi .,0,0
397,ngọc như chắc là sẽ bíu tình_yêu phun lắm đây .,0,0
398,nhà thầy đâu tết ghé coi .,0,0
399,lê văn tám là hư_cấu à bacd .,0,0
400,dân miền tây nam rất thích đeo vàng khoe_khoang nhỉ .,0,0
401,cưng bã dễ sợ .,0,0
402,tiên_tri vũ_trụ múa võ vui kinh nhỉ thấy tiên_tri dùng thế cuối rồi nói câu súng bắn không trúng dao chém không lủng tự_dưng muốn cười kinh_khủng ka ka ka .,0,0
403,địt_mẹ hồ chí minh đường_mòn hồ chí minh .,2,2
404,lại dễ ăn quá làm ở nhà nhé .,0,0
405,đinh phước sống nhanh chậm chửi hết .,0,0
406,cô ba minh hiếu xuất_sắc quá nè mọi người .,0,0
407,mời dì hai ca_sỹ tuấn phong đi anh_chị .,0,0
408,bên này còn dell giám dùng tien mà chj xaolol vay nhà toàn trã góp sūa cl .,2,2
409,duy trần xin video luôn ông ơi .,0,0
410,lộc đéo comment là bác được yên . lộc comment cái bác lên nóc nhà bắt con gà . bãi đéo nào cũng có dấu răng của .,1,1
411,sao thầy không múa quạt nhỉ .,0,0
412,ngô tấn hưng ông đang nâng trình thầy ba hay kéo_trình duke xuống vậy .,0,0
414,lại nghĩ cảnh tập_trận chống bạo_động đại_hội đảng . cứ tập_trận như đúng rồi sợ dân ta đến biểu_tình nên phải làm vậy đây mà .,2,2
415,con này không bỏ_tù cũng phải bồi_thường thiệt_hại cho đất_nước thì mới mong được sự tha_thứ .,0,0
416,đúng là chỉ còn loi mà hai văn được .,0,0
417,thứ ngu như nói_chuyện mất tg . đi học lại lớp mẫu_giáo đi .,2,2
418,may là có ý_thức chứ không như mấy người bỏ trốn .,0,0
419,nguyễn đạt tôi nói không cùng gu mà bạn .,0,0
420,người cao bằng đẹp_trai là thế đấy các bạn ạ .,0,0
421,kết_bạn inbox có video .,0,0
422,bé bú trên để bố bú dưới .,0,0
423,ba gà dẫn gái về phong stream .,0,0
424,sao cô giống đàn_ông thế cháu tưởng đàn_ông .,0,0
425,vì yêu anh nên em nguyện làm người tăng động .,0,0
